ItemId,DisplayName,Category,Rarity,Price,Scale,SubCategory,Install,GridW,GridH,MinLevelReq,BonusAnalysis,BonusNegotiation,BonusManagement,BonusResilience,SpecialEffect,ApparelPart,ThemeTag
FURN_WALL_NS_001,[벽지] 베이직 화이트 벽지,Furniture,Common,0,Small,Wallpaper,Skin,0,0,1,0,0,0,0,기본 지급 벽지,,NaturalStarter
FURN_FLOOR_NS_001,[바닥] 오크우드 바닥,Furniture,Common,0,Small,Floor,Skin,0,0,1,0,0,0,0,기본 지급 바닥재,,NaturalStarter
FURN_DESK_NS_001,[책상] 기초 목재 책상,Furniture,Common,3000,Small,Desk,Grid,2,1,1,0,0,0,0,기본적인 목재 트레이딩 데스크,,NaturalStarter
FURN_CHAIR_NS_001,[의자] 클래식 목재 의자,Furniture,Common,2500,Small,Chair,Grid,1,1,1,0,0,0,0,카페 스타일 목재 의자,,NaturalStarter
FURN_BED_NS_001,[침대] 아늑한 목재 침대,Furniture,Uncommon,5000,Small,Bed,Grid,2,1,1,0,0,0,0.1,스테미너 자연 회복량 +10%,,NaturalStarter
FURN_DECOR_NS_001,[장식품] 몬스테라 화분,Furniture,Common,3500,Small,Decor,Grid,1,1,1,0.02,0,0,0,찌라시 해독 확률 +2%,,NaturalStarter
FURN_WALL_NS_DOOR,[벽 장식] 기본 목재 방문,Furniture,Common,0,Small,WallDecor,Grid,1,1,1,0,0,0,0,[마을 이동] 클릭 시 서버 선택 창 오픈,,NaturalStarter
FURN_STORAGE_NS_001,[수납] 기본 목재 옷장,Furniture,Common,4000,Small,Storage,Grid,1,1,1,0,0,0,0,[아바타 커스터마이징] 기능 활성화,,NaturalStarter
FURN_WALL_MD_001,[벽지] 다크 모드 벽지,Furniture,Uncommon,3000,Small,Wallpaper,Skin,0,0,1,0,0,0,0,장시간 매매 시 피로도 완화,,ModernDark
FURN_FLOOR_MD_001,[바닥] 콘크리트 그레이 바닥,Furniture,Uncommon,4500,Small,Floor,Skin,0,0,1,0,0,0,0,차트 가독성 10% 복구,,ModernDark
FURN_DESK_MD_001,[책상] 스마트 모션 데스크,Furniture,Uncommon,7500,Small,Desk,Grid,2,1,1,0,0,0,0,스트레스 상승률 -10%,,ModernDark
FURN_CHAIR_MD_001,[의자] 컴포트 오피스 체어,Furniture,Uncommon,8000,Small,Chair,Grid,1,1,1,0,0,0,0.1,스테미너 회복 효율 상승,,ModernDark
FURN_BED_MD_001,[침대] 원목 싱글 침대,Furniture,Uncommon,9000,Small,Bed,Grid,2,1,1,0.1,0,0,0,[분석력] 경험치 획득 효율 1.1배,,ModernDark
FURN_STORAGE_MD_001,[수납] 시공 대형 수납장,Furniture,Uncommon,6000,Small,Storage,Grid,2,1,1,0,0,0.1,0,인벤토리 슬롯 +10칸,,ModernDark
FURN_WALL_MW_001,[벽지] 화이트 브릭 벽지,Furniture,Uncommon,3500,Small,Wallpaper,Skin,0,0,1,0,0,0,0,세련된 흰색 벽돌 질감,,MinimalistWhite
FURN_FLOOR_MW_001,[바닥] 마블 패턴 바닥,Furniture,Uncommon,4000,Small,Floor,Skin,0,0,1,0,0,0,0,깔끔한 대리석 패턴,,MinimalistWhite
FURN_DESK_MW_001,[책상] 투명 강화유리 데스크,Furniture,Uncommon,8500,Small,Desk,Grid,2,1,1,0,0,0,0,시각적 개방감으로 집중력 보너스,,MinimalistWhite
FURN_CHAIR_MW_001,[의자] 화이트 클리어 체어,Furniture,Uncommon,4000,Small,Chair,Grid,1,1,1,0,0,0,0,모던 투명 소재 의자,,MinimalistWhite
FURN_BED_MW_001,[침대] 화이트 철제 침대,Furniture,Uncommon,7500,Small,Bed,Grid,2,1,1,0,0,0,0,심플 프레임 싱글 침대,,MinimalistWhite
FURN_DECOR_MW_001,[장식품] 미니 선인장,Furniture,Common,2000,Small,Decor,Grid,1,1,1,0,0,0,0,관리 편한 인테리어 식물,,MinimalistWhite
FURN_WALL_IS_001,[벽지] 레드 브릭 벽지,Furniture,Uncommon,4000,Small,Wallpaper,Skin,0,0,1,0,0,0,0,노출 벽돌 빈티지 벽면,,IndustrialStudio
FURN_FLOOR_IS_001,[바닥] 에폭시 그레이 바닥,Furniture,Uncommon,4500,Small,Floor,Skin,0,0,1,0,0,0,0,무광 에폭시 바닥재,,IndustrialStudio
FURN_DESK_IS_001,[책상] 스틸 파이프 책상,Furniture,Uncommon,9000,Small,Desk,Grid,2,1,1,0,0,0,0,금속 파이프 프레임 데스크,,IndustrialStudio
FURN_CHAIR_IS_001,[의자] 빈티지 톨릭스 체어,Furniture,Uncommon,3500,Small,Chair,Grid,1,1,1,0,0,0,0,철제 인더스트리얼 체어,,IndustrialStudio
FURN_BED_IS_001,[침대] 파이프 프레임 침대,Furniture,Uncommon,8000,Small,Bed,Grid,2,1,1,0,0,0,0,금속 프레임 침대,,IndustrialStudio
FURN_DECOR_IS_001,[장식품] 에디슨 전구 스탠드,Furniture,Common,3000,Small,Decor,Grid,1,1,1,0,0,0,0,따뜻한 오렌지빛 감성 조명,,IndustrialStudio
