ItemId,DisplayName,Category,Rarity,Price,Scale,SubCategory,Install,GridW,GridH,MinLevelReq,BonusAnalysis,BonusNegotiation,BonusManagement,BonusResilience,SpecialEffect,ApparelPart,ThemeTag
APP_TOP_NS_M_001,체크무늬 버튼다운 셔츠,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,단정한 체크 셔츠,Top,NaturalStarter
APP_BOT_NS_M_001,슬림핏 베이지 치노,Apparel,Common,1800,Small,None,Grid,0,0,1,0,0,0,0,기본 면바지,Bottom,NaturalStarter
APP_SHOE_NS_M_001,브라운 가죽 로퍼,Apparel,Common,1500,Small,None,Grid,0,0,1,0,0,0,0,편안한 갈색 단화,Shoes,NaturalStarter
APP_TOP_NS_F_001,파스텔 가디건 & 블라우스,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,청순한 레이어드 상의,Top,NaturalStarter
APP_BOT_NS_F_001,A라인 플리츠 스커트,Apparel,Common,1800,Small,None,Grid,0,0,1,0,0,0,0,단정한 베이지 치마,Bottom,NaturalStarter
APP_SHOE_NS_F_001,리본 플랫 슈즈,Apparel,Common,1500,Small,None,Grid,0,0,1,0,0,0,0,귀여운 리본 장식 신발,Shoes,NaturalStarter
APP_TOP_MD_M_001,하이넥 블랙 터틀넥,Apparel,Rare,5000,Small,None,Grid,0,0,1,1,0,0,0,[분석력] +1,Top,ModernDark
APP_BOT_MD_M_001,차콜 그레이 슬랙스,Apparel,Rare,4500,Small,None,Grid,0,0,1,0,0,0,0,깔끔한 검정 바지,Bottom,ModernDark
APP_SHOE_MD_M_001,블랙 더비 슈즈,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,광택 가죽 구두,Shoes,ModernDark
APP_TOP_MD_F_001,슬림핏 블랙 블레이저,Apparel,Rare,5000,Small,None,Grid,0,0,1,1,0,0,0,[분석력] +1,Top,ModernDark
APP_BOT_MD_F_001,세미 부츠컷 트라우저,Apparel,Rare,4500,Small,None,Grid,0,0,1,0,0,0,0,정장 바지,Bottom,ModernDark
APP_SHOE_MD_F_001,포인티드 토 힐,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,세련된 하이힐,Shoes,ModernDark
APP_TOP_MW_M_001,화이트 옥스포드 셔츠,Apparel,Rare,5000,Small,None,Grid,0,0,1,0,1,0,0,[협상력] +1,Top,MinimalistWhite
APP_BOT_MW_M_001,라이트 그레이 면바지,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,밝은 톤 일자 바지,Bottom,MinimalistWhite
APP_SHOE_MW_M_001,화이트 캔버스화,Apparel,Rare,3500,Small,None,Grid,0,0,1,0,0,0,0,가벼운 스니커즈,Shoes,MinimalistWhite
APP_TOP_MW_F_001,실크 리본 블라우스,Apparel,Rare,5000,Small,None,Grid,0,0,1,0,1,0,0,[협상력] +1,Top,MinimalistWhite
APP_BOT_MW_F_001,화이트 펜슬 스커트,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,무릎 길이 깔끔한 치마,Bottom,MinimalistWhite
APP_SHOE_MW_F_001,화이트 스틸레토 힐,Apparel,Rare,3500,Small,None,Grid,0,0,1,0,0,0,0,순백색 우아한 하이힐,Shoes,MinimalistWhite
APP_TOP_IS_M_001,헤비 코튼 워크 자켓,Apparel,Rare,5500,Small,None,Grid,0,0,1,0,0,1,0,[운용력] +1,Top,IndustrialStudio
APP_BOT_IS_M_001,와이드 카고 팬츠,Apparel,Rare,4500,Small,None,Grid,0,0,1,0,0,0,0,주머니 많은 작업 바지,Bottom,IndustrialStudio
APP_SHOE_IS_M_001,강철캡 안전화,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,발 보호 무거운 워커,Shoes,IndustrialStudio
APP_TOP_IS_F_001,유틸리티 조끼 & 탑,Apparel,Rare,5500,Small,None,Grid,0,0,1,0,0,1,0,[운용력] +1,Top,IndustrialStudio
APP_BOT_IS_F_001,슬림 카고 레깅스,Apparel,Rare,4500,Small,None,Grid,0,0,1,0,0,0,0,활동성 좋은 작업 바지,Bottom,IndustrialStudio
APP_SHOE_IS_F_001,택티컬 컴뱃 부츠,Apparel,Rare,4000,Small,None,Grid,0,0,1,0,0,0,0,가볍고 튼튼한 부츠,Shoes,IndustrialStudio
APP_TOP_RA_M_001,픽셀 도트 오버핏 티,Apparel,Common,2500,Small,None,Grid,0,0,1,0,0,0,0,도트 캐릭터 힙한 티셔츠,Top,RetroArcade
APP_BOT_RA_M_001,체크보드 조거 팬츠,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,레트로 체크무늬 바지,Bottom,RetroArcade
APP_SHOE_RA_M_001,컬러풀 하이탑 픽셀,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,도트 질감 운동화,Shoes,RetroArcade
APP_TOP_RA_F_001,8비트 크롭 후드,Apparel,Common,2500,Small,None,Grid,0,0,1,0,0,0,0,픽셀 감성 짧은 후드,Top,RetroArcade
APP_BOT_RA_F_001,레트로 테니스 스커트,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,활동적인 체크무늬 치마,Bottom,RetroArcade
APP_SHOE_RA_F_001,픽셀 롤러스케이트,Apparel,Common,2000,Small,None,Grid,0,0,1,0,0,0,0,레트로 감성 신발,Shoes,RetroArcade
APP_HAIR_NC_M_001,네온 스파이크 헤어,Apparel,Epic,15000,Middle,None,Grid,0,0,3,0,0,0,0,형광 강렬한 남성 숏컷,Hair,NeonCyber
APP_TOP_NC_M_001,네온 엣지 윈드브레이커,Apparel,Epic,20000,Middle,None,Grid,0,0,3,2,0,0,0,[분석력] +2 글리치 감지 증가,Top,NeonCyber
APP_BOT_NC_M_001,테크니컬 하이테크 팬츠,Apparel,Epic,15000,Middle,None,Grid,0,0,3,0,0,0,0,네온 스트랩 기능성 바지,Bottom,NeonCyber
APP_SHOE_NC_M_001,LED 하이탑 운동화,Apparel,Epic,18000,Middle,None,Grid,0,0,3,0,0,0,0,네온 빛 발산 신발,Shoes,NeonCyber
APP_ACC_NC_M_001,네온 사이버 고글,Apparel,Epic,12000,Middle,None,Grid,0,0,3,0,0,0,0,매매 UI 네온 스킨 적용,Accessory,NeonCyber
