StockId,Type,Tier1Text,Tier2Text,Tier3Text
CloudBerry,Bullish,"형씨, 파란색 열매 맺는 나무가 조만간 하늘 뚫는다는데? 나만 믿고 미리 타보라니까?","IT 쪽에서 대박 소식 들려와. 베리 어쩌구가 대공황 급 계약 따냈다는데? 아, 설마 패치워크인가?","클라우드 베리가 내일 정오에 잭팟 터뜨릴 거야. 공시 뜨자마자 풀매수 때려. 알았지?"
CloudBerry,Bearish,"야, 구름 동네에 불났대. 다 타버려서 복구도 안 된다는데? 빨리 도망쳐!","클라우드 쪽 서버실이 통째로 날아갔어. 베리네 집인지 모모네 집인지 모르겠는데 암튼 박살 났어.","클라우드 베리 메인 센터에 화재 났어. 고객 데이터 다 날아가서 내일 하한가 직행이야. 당장 팔아!"
MomoSolution,Bullish,"모모가 형님들한테 입양된다는 소문이야. 이거 진짜면 10배는 껌이지. 형 믿지?","솔루션 개발하는 모모가 해외 큰손들한테 먹힌다네? IT 쪽 판도가 바뀔 거다, 진짜야.","모모 솔루션이 구글급 기업이랑 인수 협상 거의 끝났어. 내일 아침 티커 터질 거니까 준비해."
MomoSolution,Bearish,"솔루션 동네 머리 좀 쓴다는 애들 다 짐 쌌어. 이제 껍데기만 남은 거야. 빨리 튀어!","모모네 핵심 개발팀이 경쟁사로 통째로 옮겼대. IT 업계 역사상 최악의 배신이지. 가즈아 지옥으로!","모모 솔루션 CTO랑 개발팀 20명이 오늘 사표 던졌어. 기술력 박살 났으니까 내일 무조건 던져."
Patchwork,Bullish,"누가 그러는데, 누더기 옷(패치워크)이 갑자기 방탄조끼가 됐다던데? 잭팟이다, 이거!","보안 쪽 패치워크가 절대 안 뚫리는 신기술 만들었어. IT 보안 시장 다 먹을 거니까 미리 쟁여둬.","패치워크가 양자 보안 특허 받았어. 내일 정부 산하기관이랑 계약 발표하니까 풀매수 가자."
Patchwork,Bearish,"패치워크 보안망 뚫려서 털렸어. 구멍 난 옷처럼 너덜너덜해졌다는데? 도망쳐!","IT 쪽 패치워크가 제대로 털렸어. 메인 서버 다운되고 복구도 안 된다더라. 이거 하한가 직행이야.","패치워크 보안망 뚫린 게 내부자 소행이래. 내일 공식 사과문 올라오면 주가 그냥 증발할걸?"
SynapseNet,Bullish,"길거리에 시냅스 망 공사 중인 거 봤어? 도시 전체를 연결한다던데 돈 냄새가 풀풀 나.","IT 쪽 시냅스 망이 정부 뉴럴 망 프로젝트 먹었대. 이거 설치만 다 되면 월세 받는 건물주 부럽지 않을걸?","시냅스 망이 내일 오전 10시에 단독 수주 공시 낸대. 지금 안 사면 평생 후회한다."
SynapseNet,Bearish,"야, 시냅스 망 쓰는 사람들 갑자기 머리 아프대. 신호가 꼬였다나 뭐라나. 조만간 뉴스 뜰걸?","IT 쪽 시냅스 망 인프라에서 치명적인 신호 간섭 발견됐어. 전량 교체해야 한다는데 보상금 때문에 망할지도 몰라.","시냅스 망 오작동 피해자 소송인단 벌써 천 명 넘었대. 내일 뉴스 터지면 주가 반토막 확정이야."
TechDome,Bullish,"테크 돔 이번 신제품 봤어? 디자인부터 미쳤더라. 줄 서서 사는 거 보니까 주가도 오를 듯.","IT 쪽 테크 돔이 이번에 내놓은 OS가 시장 완전 평정할 거래. 마이크로소프트도 긴장한다는데?","테크 돔 2.0 업데이트 내일 아침이야. 예약 판매 수치만 봐도 전고점 뚫는 건 시간문제지."
TechDome,Bearish,"요즘 누가 테크 돔 돈 주고 써? 다 공짜 OS 쓰지. 시대에 뒤떨어진 것 같아.","IT 쪽 테크 돔 점유율이 반토막 났대. 경쟁사들이 무료로 뿌리는 바람에 수익 구조가 박살 났다더라.","테크 돔 내부 문건 유출됐는데 다음 분기 적자 전환이 확실시됐어. 무조건 팔아라."
